sep=,
Type,FSW-43,
Version,5.10SP1,
Date,20.Apr 2023,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,5004000.000000,Hz
Freq Offset,0.000000,Hz
Start,8000.000000,Hz
Stop,10000000.000000,Hz
Span,9992000.000000,Hz
Ref Level,107.000000,dBµV
Level Offset,0.000000,dB
Rf Att,10.000000,dB
El Att,0.000000,dB
RBW,50000.000000,Hz
VBW,50000.000000,Hz
SWT,0.000084,s
Sweep Count,0,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,SAMPLE,
Values,4000,
8000,59.357025146484375,
10498.624656164040061,59.8024139404296875,
12997.249312328080123,60.19754791259765625,
15495.873968492120184,60.53369903564453125,
17994.498624656160246,60.808925628662109375,
20493.123280820200307,61.025852203369140625,
22991.747936984240368,61.18949127197265625,
25490.37259314828043,61.303436279296875,
27988.997249312320491,61.375904083251953125,
30487.621905476360553,61.522579193115234375,
32986.246561640400614,61.82456207275390625,
35484.871217804444314,62.089572906494140625,
37983.495873968488013,62.272083282470703125,
40482.120530132531712,62.506679534912109375,
42980.745186296575412,62.761325836181640625,
45479.369842460619111,62.95014190673828125,
47977.99449862466281,63.083896636962890625,
50476.61915478870651,63.176868438720703125,
52975.243810952750209,63.232189178466796875,
55473.868467116793909,63.25986480712890625,
57972.493123280837608,63.26634979248046875,
60471.117779444881307,63.260974884033203125,
62969.742435608925007,63.24687957763671875,
65468.367091772968706,63.21435546875,
67966.99174793700513,63.17670440673828125,
70465.616404101048829,63.1322021484375,
72964.241060265092528,63.042724609375,
75462.865716429136228,62.90387725830078125,
77961.490372593179927,62.77593994140625,
80460.115028757223627,62.600231170654296875,
82958.739684921267326,62.4111480712890625,
85457.364341085311025,62.20796966552734375,
87955.988997249354725,62.00485992431640625,
90454.613653413398424,61.8275299072265625,
92953.238309577442124,61.69271087646484375,
95451.862965741485823,61.586231231689453125,
97950.487621905529522,61.502414703369140625,
100449.11227806957322,61.443904876708984375,
102947.73693423361692,61.413051605224609375,
105446.36159039766062,61.408557891845703125,
107944.98624656170432,61.42600250244140625,
110443.61090272574802,61.4609375,
112942.23555888979172,61.512088775634765625,
115440.86021505383542,61.582553863525390625,
117939.48487121787912,61.68175506591796875,
